time,x_true,y_true,yaw_true,ekf_x,ekf_y,ekf_yaw,nkf_yaw_error
1.329,3.52646,-3.29323,2.5215,3.49992,-3.27462,2.54124,0.019744
1.345,3.5246,-3.29101,2.5297,3.49732,-3.27284,2.54124,0.011544
1.386,3.52407,-3.29058,2.5303,3.49533,-3.27148,2.54124,0.010944
1.416,3.52118,-3.28905,2.5288,3.49417,-3.27069,2.54124,0.012444
1.447,3.51774,-3.28707,2.5238,3.4913,-3.26872,2.54124,0.017444
1.497,3.51731,-3.2867,2.5233,3.48936,-3.26739,2.54124,0.017944
1.528,3.51551,-3.28495,2.5234,3.48825,-3.26664,2.54124,0.017844
1.542,3.51511,-3.28449,2.5246,3.48748,-3.26611,2.54124,0.016644
1.558,3.51285,-3.28266,2.5278,3.48532,-3.26463,2.54124,0.013444
1.595,3.51211,-3.28226,2.5269,3.4851,-3.26448,2.54124,0.014344
1.619,3.50924,-3.28077,2.5221,3.48223,-3.26251,2.54124,0.019144
1.669,3.50678,-3.2785,2.524,3.47957,-3.26069,2.54124,0.017244
1.71,3.50652,-3.27813,2.5257,3.4777,-3.25941,2.54124,0.015544
1.74,3.50453,-3.27651,2.5277,3.47648,-3.25857,2.54124,0.013544
1.771,3.50036,-3.27493,2.5211,3.47366,-3.25664,2.54124,0.020144
1.821,3.49868,-3.27253,2.5241,3.4694,-3.25373,2.54124,0.017144
1.883,3.49843,-3.27211,2.5253,3.46924,-3.25362,2.54124,0.015944
1.892,3.49622,-3.27027,2.526,3.46824,-3.25293,2.54124,0.015244
1.973,3.48981,-3.26661,2.5208,3.46227,-3.24885,2.54124,0.020444
2.012,3.48794,-3.26455,2.5222,3.45967,-3.24707,2.54124,0.019044
2.074,3.4874,-3.2641,2.5229,3.45713,-3.24533,2.54124,0.018344
2.135,3.48129,-3.26085,2.5182,3.45403,-3.24321,2.54124,0.023044
2.186,3.47878,-3.25846,2.5207,3.45144,-3.24143,2.54124,0.020544
2.237,3.47847,-3.258,2.5215,3.44911,-3.23984,2.54124,0.019744
2.267,3.4757,-3.256,2.5209,3.44812,-3.23916,2.54124,0.020344
2.287,3.47491,-3.2557,2.52,3.44602,-3.23772,2.54124,0.021244
2.328,3.47209,-3.25449,2.5179,3.44486,-3.23692,2.54124,0.023344
2.338,3.47165,-3.25409,2.5185,3.44447,-3.23666,2.54124,0.022744
2.348,3.46996,-3.25175,2.5219,3.44082,-3.23416,2.54124,0.019344
2.419,3.46567,-3.24947,2.5192,3.43833,-3.23246,2.54124,0.022044
2.47,3.46262,-3.24794,2.5174,3.43535,-3.23041,2.54124,0.023844
2.51,3.46232,-3.24747,2.5185,3.43518,-3.2303,2.54124,0.022744
2.53,3.46045,-3.2449,2.522,3.43269,-3.2286,2.54124,0.019244
2.581,3.45988,-3.24441,2.522,3.43081,-3.22731,2.54124,0.019244
2.601,3.45687,-3.24312,2.5205,3.4296,-3.22648,2.54124,0.020744
2.632,3.45373,-3.24164,2.5189,3.42661,-3.22443,2.54124,0.022344
2.683,3.45112,-3.23874,2.5194,3.42379,-3.2225,2.54124,0.021844
2.733,3.45062,-3.23831,2.5198,3.4218,-3.22114,2.54124,0.021444
2.774,3.44751,-3.23674,2.5205,3.42048,-3.22023,2.54124,0.020744
2.794,3.44673,-3.23647,2.5196,3.41815,-3.21864,2.54124,0.021644
2.835,3.44359,-3.23472,2.5155,3.41578,-3.21701,2.54124,0.025744
2.865,3.44214,-3.23289,2.5184,3.41456,-3.21618,2.54124,0.022844
2.896,3.43898,-3.23041,2.5204,3.41163,-3.21418,2.54124,0.020844
2.966,3.43808,-3.23012,2.5193,3.4097,-3.21285,2.54124,0.021944
2.987,3.43483,-3.22899,2.5159,3.40853,-3.21206,2.54124,0.025344
2.995,3.43434,-3.22863,2.5164,3.40837,-3.21194,2.54124,0.024844
3.007,3.43368,-3.22638,2.5227,3.40538,-3.2099,2.54124,0.018544
3.068,3.43332,-3.22587,2.5232,3.40361,-3.20869,2.54124,0.018044
3.088,3.42867,-3.22365,2.5198,3.40234,-3.20782,2.54124,0.021444
3.118,3.4276,-3.2233,2.5192,3.39997,-3.20619,2.54124,0.022044
3.197,3.42312,-3.22009,2.5181,3.39757,-3.204,2.5396,0.0175431
3.214,3.42272,-3.21962,2.5185,3.39718,-3.20374,2.5396,0.0171431
3.23,3.42003,-3.21754,2.521,3.39431,-3.20176,2.5396,0.0146431
3.291,3.41642,-3.21573,2.5183,3.38984,-3.19869,2.5396,0.0173431
3.354,3.41583,-3.21529,2.5179,3.38967,-3.19858,2.5396,0.0177431
3.361,3.41363,-3.21294,2.5208,3.3873,-3.19694,2.5396,0.0148431
3.4,3.41334,-3.21252,2.5222,3.38719,-3.19687,2.5396,0.0134431
3.422,3.41077,-3.21098,2.5233,3.38415,-3.19478,2.5396,0.0123431
3.473,3.40608,-3.20932,2.518,3.38194,-3.19326,2.5396,0.0176431
3.513,3.40554,-3.20878,2.5188,3.37979,-3.19178,2.5396,0.0168431
3.544,3.40463,-3.20654,2.5233,3.37918,-3.19137,2.5396,0.0123431
3.564,3.40445,-3.20608,2.5243,3.37675,-3.1897,2.5396,0.0113431
3.594,3.40246,-3.20465,2.5244,3.37598,-3.18917,2.5396,0.0112431
3.615,3.4016,-3.2044,2.5227,3.37515,-3.1886,2.5396,0.0129431
3.625,3.39782,-3.20317,2.5179,3.37288,-3.18704,2.5396,0.0177431
3.675,3.39746,-3.20277,2.5183,3.37172,-3.18624,2.5396,0.0173431
3.686,3.39589,-3.20029,2.5235,3.36968,-3.18484,2.5396,0.0121431
3.736,3.39537,-3.19977,2.5237,3.36736,-3.18325,2.5396,0.0119431
3.767,3.39161,-3.19763,2.5228,3.36499,-3.18162,2.5396,0.0128431
3.817,3.38808,-3.19546,2.5228,3.36333,-3.18048,2.5396,0.0128431
3.848,3.38766,-3.19504,2.5225,3.36118,-3.179,2.5396,0.0131431
3.878,3.38615,-3.1932,2.5238,3.35886,-3.1774,2.5396,0.0118431
3.939,3.38237,-3.19105,2.5241,3.35698,-3.17611,2.5396,0.0115431
3.959,3.3816,-3.19077,2.5232,3.35488,-3.17467,2.5396,0.0124431
3.989,3.37856,-3.18875,2.5186,3.35267,-3.17315,2.5396,0.0170431
4.027,3.37823,-3.18826,2.5192,3.35251,-3.17304,2.5396,0.0164431
4.04,3.37681,-3.18603,2.5252,3.35002,-3.17133,2.5396,0.0104431
4.075,3.37632,-3.18561,2.5262,3.34986,-3.17122,2.5396,0.00944312
4.08,3.37179,-3.18417,2.5217,3.34649,-3.16891,2.5396,0.0139431
4.182,3.36862,-3.18186,2.522,3.34472,-3.16769,2.5396,0.0136431
4.202,3.3685,-3.18143,2.5233,3.3434,-3.16678,2.5396,0.0123431
4.232,3.3668,-3.17919,2.5274,3.34207,-3.16587,2.5396,0.00824312
4.263,3.36601,-3.1788,2.5268,3.3397,-3.16424,2.5396,0.00884312
4.313,3.36186,-3.17711,2.5232,3.33732,-3.16261,2.5396,0.0124431
4.344,3.3599,-3.1757,2.5231,3.3366,-3.16211,2.5396,0.0125431
4.364,3.35956,-3.17531,2.5234,3.33539,-3.16128,2.5396,0.0122431
4.374,3.3576,-3.17302,2.5272,3.33357,-3.16003,2.5396,0.00844312
4.415,3.35702,-3.17259,2.5277,3.33114,-3.15836,2.5396,0.00794312
4.455,3.35234,-3.17092,2.5214,3.32915,-3.15699,2.5396,0.0142431
4.486,3.34983,-3.16893,2.5222,3.32589,-3.15475,2.5396,0.0134431
4.577,3.34769,-3.16593,2.5265,3.32247,-3.1524,2.5396,0.00914312
4.617,3.34221,-3.16445,2.5209,3.31965,-3.15047,2.5396,0.0147431
4.668,3.34024,-3.16183,2.5284,3.31617,-3.14808,2.5396,0.00724312
4.739,3.33749,-3.15932,2.5294,3.31291,-3.14584,2.5396,0.00624312
4.8,3.33278,-3.15832,2.5236,3.30971,-3.14364,2.5396,0.0120431
4.85,3.33236,-3.15796,2.5244,3.30745,-3.14208,2.5396,0.0112431
4.901,3.33036,-3.15458,2.5275,3.30474,-3.14022,2.5396,0.00814312
4.932,3.3277,-3.15314,2.5267,3.30414,-3.1397,2.53919,0.0119095
4.952,3.32689,-3.15297,2.5264,3.30215,-3.13834,2.53919,0.0122095
5.003,3.32353,-3.15184,2.5238,3.29939,-3.13644,2.53919,0.0148095
5.033,3.3222,-3.15003,2.5235,3.29884,-3.13606,2.53919,0.0151095
5.053,3.3219,-3.14949,2.5244,3.29674,-3.13462,2.53919,0.0142095
5.084,3.31912,-3.14705,2.5275,3.29454,-3.1331,2.53919,0.0111095
5.124,3.3145,-3.14566,2.521,3.292,-3.13135,2.53919,0.0176095
5.185,3.31241,-3.14284,2.5253,3.28973,-3.12979,2.53919,0.0133095
5.226,3.312,-3.14223,2.5264,3.28841,-3.12888,2.53919,0.0122095
5.246,3.30939,-3.14022,2.5274,3.28631,-3.12744,2.53919,0.0112095
5.277,3.30852,-3.13993,2.5265,3.28576,-3.12706,2.53919,0.0121095
5.297,3.3048,-3.13854,2.5237,3.28349,-3.1255,2.53919,0.0149095
5.357,3.30442,-3.13807,2.5244,3.28118,-3.12391,2.53919,0.0142095
5.378,3.30339,-3.13582,2.5302,3.28057,-3.12349,2.53919,0.00840954
5.398,3.30041,-3.13365,2.5311,3.27764,-3.12148,2.53919,0.00750954
5.449,3.296,-3.13206,2.5254,3.2745,-3.11932,2.53919,0.0132095
5.499,3.29394,-3.12979,2.528,3.27174,-3.11742,2.53919,0.0106095
5.55,3.29357,-3.12924,2.5291,3.26991,-3.11616,2.53919,0.00950954
5.58,3.29168,-3.12743,2.5304,3.26754,-3.11453,2.53919,0.00820954
5.617,3.29108,-3.12717,2.5299,3.26737,-3.11442,2.53919,0.00870954
5.621,3.28846,-3.12655,2.526,3.26638,-3.11374,2.53919,0.0126095
5.651,3.28775,-3.12632,2.5249,3.26434,-3.11233,2.53919,0.0137095
5.682,3.28487,-3.12415,2.525,3.26307,-3.11146,2.53919,0.0136095
5.712,3.2845,-3.1236,2.5261,3.26097,-3.11001,2.53919,0.0125095
5.742,3.28322,-3.12153,2.5293,3.26036,-3.1096,2.53919,0.00930954
5.763,3.28275,-3.12113,2.5294,3.25793,-3.10793,2.53919,0.00920954
5.823,3.276,-3.11852,2.5215,3.25341,-3.10481,2.53919,0.0171095
5.884,3.27444,-3.11545,2.5282,3.25175,-3.10367,2.53919,0.0104095
5.915,3.27396,-3.11501,2.5285,3.24976,-3.10231,2.53919,0.0101095
5.945,3.27085,-3.11372,2.5266,3.24744,-3.10071,2.53919,0.0120095
5.996,3.26712,-3.11205,2.5249,3.24612,-3.0998,2.53919,0.0137095
6.036,3.2667,-3.11161,2.5257,3.2438,-3.09821,2.53919,0.0129095
6.047,3.26557,-3.10974,2.5268,3.24325,-3.09783,2.53919,0.0118095
6.077,3.2652,-3.10927,2.527,3.24076,-3.09612,2.53919,0.0116095
6.128,3.26193,-3.10741,2.5256,3.2395,-3.09412,2.53511,0.00242069
6.168,3.25833,-3.10608,2.5214,3.23658,-3.09209,2.53511,0.00177931
6.209,3.25659,-3.10414,2.5239,3.23598,-3.09167,2.53511,0.000720694
6.229,3.2562,-3.10358,2.5248,3.23383,-3.09018,2.53511,0.00162069
6.249,3.25456,-3.10177,2.5267,3.23334,-3.08984,2.53511,0.00352069
6.281,3.25402,-3.10146,2.5268,3.23119,-3.08835,2.53511,0.00362069
6.332,3.25021,-3.10016,2.5234,3.22827,-3.08632,2.53511,0.000220694
6.372,3.24721,-3.09802,2.5236,3.22596,-3.08472,2.53511,0.000420694
6.392,3.24599,-3.0959,2.5291,3.22535,-3.0843,2.53511,0.00592069
6.413,3.24551,-3.09545,2.5298,3.22326,-3.08285,2.53511,0.00662069
6.464,3.24165,-3.09367,2.5277,3.2204,-3.08086,2.53511,0.00452069
6.494,3.23914,-3.09155,2.5259,3.21858,-3.0796,2.53511,0.00272069
6.535,3.23709,-3.08833,2.5285,3.2161,-3.07788,2.53511,0.00532069
6.586,3.23649,-3.08803,2.528,3.21412,-3.07651,2.53511,0.00482069
6.636,3.23285,-3.0871,2.5238,3.21154,-3.07472,2.53511,0.000620694
6.657,3.23063,-3.08562,2.5248,3.21093,-3.07429,2.53511,0.00162069
6.665,3.23016,-3.08514,2.5248,3.20994,-3.07361,2.53511,0.00162069
6.698,3.22853,-3.08318,2.5254,3.2073,-3.07177,2.53511,0.00222069
6.731,3.22819,-3.08276,2.5259,3.20719,-3.0717,2.53511,0.00272069
6.738,3.22575,-3.081,2.5305,3.20449,-3.06983,2.53511,0.00732069
6.789,3.22186,-3.07938,2.5257,3.20157,-3.0678,2.53511,0.00252069
6.85,3.22124,-3.07894,2.5254,3.20064,-3.06715,2.53511,0.00222069
6.86,3.21956,-3.07633,2.5298,3.19838,-3.06559,2.53511,0.00662069
6.911,3.21706,-3.0744,2.532,3.19568,-3.06372,2.53511,0.00882069
6.961,3.21289,-3.07291,2.5258,3.19282,-3.06173,2.53511,0.00262069
7.012,3.2109,-3.07062,2.5295,3.19012,-3.05986,2.53511,0.00632069
7.053,3.21062,-3.07014,2.5308,3.18941,-3.05936,2.53511,0.00762069
7.063,3.20812,-3.06809,2.5317,3.18687,-3.05761,2.53511,0.00852069
7.124,3.20731,-3.06779,2.5307,3.18489,-3.05623,2.53511,0.00752069
7.165,3.20354,-3.06624,2.5272,3.18192,-3.05417,2.53511,0.00402069
7.206,3.20185,-3.06452,2.5286,3.18109,-3.0536,2.53511,0.00542069
7.207,3.20147,-3.06401,2.5293,3.17961,-3.05257,2.53511,0.00612069
7.236,3.19978,-3.06209,2.5321,3.17845,-3.05176,2.53511,0.00892069
7.266,3.19642,-3.06066,2.5298,3.17581,-3.04993,2.53511,0.00662069
7.303,3.19565,-3.0604,2.5285,3.17559,-3.04978,2.53511,0.00532069
7.358,3.19307,-3.05911,2.5225,3.17267,-3.04775,2.53511,0.000679306
7.36,3.19261,-3.0587,2.5221,3.17129,-3.0468,2.53511,0.00107931
7.388,3.19126,-3.05659,2.5282,3.16904,-3.04523,2.53511,0.00502069
7.439,3.18839,-3.05465,2.5294,3.16689,-3.04374,2.53511,0.00622069
7.47,3.18441,-3.05325,2.5215,3.16425,-3.04191,2.53511,0.00167931
7.521,3.18228,-3.05035,2.5285,3.16116,-3.03977,2.53511,0.00532069
7.592,3.17886,-3.04795,2.5279,3.15825,-3.03775,2.53511,0.00472069
7.622,3.17525,-3.0462,2.5244,3.15593,-3.03614,2.53511,0.00122069
7.673,3.17478,-3.04578,2.5249,3.15472,-3.0353,2.53511,0.00172069
7.693,3.17303,-3.0435,2.529,3.1523,-3.03362,2.53511,0.00582069
7.73,3.17256,-3.04303,2.5299,3.1512,-3.03286,2.53511,0.00672069
7.824,3.16606,-3.03961,2.5246,3.14676,-3.02897,2.53176,0.00141058
7.865,3.16571,-3.03921,2.5248,3.14484,-3.02763,2.53176,0.00161058
7.885,3.16417,-3.0371,2.5309,3.14363,-3.02679,2.53176,0.00771058
7.926,3.16039,-3.03485,2.5292,3.14072,-3.02475,2.53176,0.00601058
7.976,3.15962,-3.03466,2.5275,3.1388,-3.02341,2.53176,0.00431058
8.003,3.1571,-3.0336,2.5235,3.13846,-3.02273,2.52993,0.000179253
8.027,3.15667,-3.03315,2.5243,3.13758,-3.02212,2.52993,0.000979253
8.037,3.15491,-3.03039,2.5304,3.13555,-3.02069,2.52993,0.00707925
8.078,3.15446,-3.0299,2.5313,3.1333,-3.01912,2.52993,0.00797925
8.159,3.14777,-3.02702,2.5237,3.13029,-3.01673,2.52877,0.000238733
8.203,3.14731,-3.02653,2.5246,3.12908,-3.01588,2.52877,0.00113873
8.224,3.14573,-3.02436,2.5288,3.12837,-3.01538,2.52877,0.00533873
8.244,3.14531,-3.02383,2.5295,3.12618,-3.01384,2.52877,0.00603873
8.295,3.14213,-3.02206,2.5292,3.12393,-3.01226,2.52877,0.00573873
8.316,3.1393,-3.021,2.5261,3.12322,-3.01176,2.52877,0.00263873
8.336,3.13877,-3.02067,2.5257,3.12185,-3.01079,2.52877,0.00223873
8.387,3.13699,-3.01824,2.5285,3.11912,-3.00813,2.52581,0.0178852
8.418,3.13497,-3.01648,2.5303,3.11726,-3.00681,2.52581,0.0196852
8.469,3.13148,-3.01549,2.5241,3.11584,-3.00581,2.52581,0.0134852
8.479,3.13087,-3.01515,2.523,3.1148,-3.00507,2.52581,0.0123852
8.499,3.129,-3.01324,2.5241,3.11266,-3.00356,2.52581,0.0134852
8.534,3.1286,-3.01271,2.5255,3.11244,-3.00341,2.52581,0.0148852
8.55,3.12626,-3.01055,2.53,3.10965,-3.00143,2.52581,0.0193852
8.601,3.12339,-3.00944,2.5257,3.10758,-2.99996,2.52581,0.0150852
8.641,3.12262,-3.00913,2.5242,3.10665,-2.9993,2.52581,0.0135852
8.652,3.11962,-3.00693,2.523,3.10336,-2.99698,2.52581,0.0123852
8.713,3.11827,-3.00513,2.5259,3.1009,-2.99524,2.52581,0.0152852
8.763,3.1146,-3.00278,2.5262,3.09855,-2.99358,2.52581,0.0155852
8.804,3.11176,-3.00165,2.5236,3.09609,-2.99184,2.52581,0.0129852
8.855,3.10963,-2.99961,2.526,3.09357,-2.99006,2.52581,0.0153852
8.883,3.10926,-2.99915,2.5267,3.09286,-2.98955,2.52581,0.0160852
8.906,3.10719,-2.99736,2.5296,3.09002,-2.98754,2.52581,0.0189852
8.948,3.10401,-2.99583,2.5273,3.08783,-2.98599,2.52581,0.0166852
9.007,3.10086,-2.99355,2.524,3.08471,-2.98379,2.52581,0.0133852
9.058,3.09906,-2.99116,2.5303,3.08214,-2.98197,2.52581,0.0196852
9.092,3.09861,-2.99077,2.5311,3.08182,-2.98174,2.52581,0.0204852
9.109,3.09583,-2.98994,2.5264,3.07881,-2.97961,2.52581,0.0157852
9.19,3.09211,-2.98805,2.5234,3.07788,-2.97895,2.52581,0.0127852
9.21,3.09167,-2.98754,2.5241,3.07777,-2.97887,2.52581,0.0134852
9.221,3.09045,-2.98549,2.5283,3.07564,-2.97736,2.52581,0.0176852
9.251,3.09011,-2.98511,2.5284,3.07553,-2.97729,2.52581,0.0177852
9.272,3.0877,-2.98378,2.5263,3.07262,-2.97523,2.53333,0.00816721
9.303,3.08687,-2.98344,2.5258,3.07232,-2.97503,2.53423,0.00677224
9.333,3.0837,-2.98205,2.5245,3.07001,-2.97343,2.54125,0.00155077
9.347,3.0819,-2.98042,2.5258,3.06698,-2.97135,2.55053,0.00953279
9.414,3.07974,-2.9778,2.534,3.06405,-2.96939,2.55925,0.0100528
9.447,3.07915,-2.97735,2.5357,3.06387,-2.96928,2.55978,0.00888376
9.464,3.0762,-2.97627,2.5388,3.06143,-2.96768,2.56644,0.0124418
9.556,3.07071,-2.97153,2.5586,3.05746,-2.96329,2.57292,0.0214615
9.607,3.06822,-2.97104,2.5592,3.05473,-2.96155,2.57865,0.0163315
9.634,3.06752,-2.97093,2.5594,3.05414,-2.96117,2.57978,0.0154015
9.657,3.06472,-2.9688,2.5655,3.05117,-2.95931,2.58523,0.0160564
9.708,3.06225,-2.96651,2.5709,3.048,-2.95734,2.59062,0.0160645
9.759,3.05895,-2.96494,2.5774,3.04641,-2.95637,2.59295,0.0202375
9.79,3.05844,-2.96474,2.579,3.04399,-2.95489,2.59612,0.0186644
9.82,3.05683,-2.96341,2.5866,3.04334,-2.9545,2.5969,0.0254895
9.841,3.05646,-2.96302,2.5882,3.04095,-2.95305,2.59935,0.0246384
9.871,3.05409,-2.96163,2.5903,3.04031,-2.95266,2.59994,0.0261495
9.892,3.05327,-2.96131,2.5895,3.03751,-2.95098,2.60223,0.0230505
9.953,3.04792,-2.95744,2.5992,3.03383,-2.94878,2.60506,0.0299215
9.998,3.04763,-2.95699,2.601,3.03299,-2.94815,2.60495,0.00102249
10.014,3.04569,-2.95591,2.6037,3.03046,-2.94664,2.60606,0.0026205
10.065,3.04214,-2.9552,2.6009,3.02948,-2.94606,2.60642,0.000541504
10.085,3.04147,-2.95479,2.6013,3.02717,-2.94469,2.60722,0.000948502
10.115,3.03902,-2.95216,2.6074,3.02492,-2.94336,2.60804,0.0043325
10.166,3.0358,-2.95021,2.6091,3.0225,-2.94193,2.6084,0.0056765
10.207,3.03291,-2.94918,2.6107,3.01973,-2.94029,2.60864,0.0070325
10.258,3.02968,-2.94668,2.613,3.01714,-2.93876,2.60861,0.0093675
10.299,3.02617,-2.94514,2.6081,3.01413,-2.93699,2.60838,0.0046945
10.349,3.02382,-2.94363,2.608,3.01096,-2.93512,2.60843,0.0045475
10.395,3.0233,-2.94323,2.6078,3.01056,-2.93488,2.60844,0.0043335
10.502,3.01381,-2.93789,2.6004,3.00363,-2.92989,2.60466,0.0165623
10.562,3.0112,-2.93626,2.5988,3.00052,-2.92804,2.60506,0.0145603
10.603,3.00766,-2.9339,2.5996,2.99782,-2.92643,2.60556,0.0148593
10.654,3.00486,-2.93264,2.5945,2.99592,-2.9253,2.60588,0.00943825
10.694,3.00431,-2.93232,2.5938,2.99425,-2.92431,2.60621,0.00840725
10.715,3.00193,-2.93107,2.5926,2.99275,-2.92342,2.60663,0.00679125
10.745,3.00126,-2.93061,2.5933,2.99061,-2.92216,2.60727,0.00685525
10.796,2.99803,-2.92782,2.599,2.98717,-2.92013,2.62007,0.000250723
10.847,2.99493,-2.92653,2.5968,2.98389,-2.91827,2.63409,0.0164647
10.898,2.99176,-2.9252,2.5957,2.98052,-2.91641,2.64839,0.0318647
10.949,2.98878,-2.92247,2.6058,2.97694,-2.91451,2.66348,0.0368537
11,2.98631,-2.92121,2.6189,2.97383,-2.91291,2.67642,0.0366997
11.03,2.9846,-2.92079,2.6273,2.9722,-2.9121,2.68312,0.0349957
11.05,2.9842,-2.92052,2.6304,2.97035,-2.91119,2.69061,0.0393907
11.111,2.97946,-2.9176,2.653,2.96631,-2.90925,2.70687,0.0330487
11.145,2.97883,-2.91735,2.6552,2.96705,-2.9056,2.70045,0.0308946
11.162,2.97645,-2.91586,2.6662,2.96417,-2.90424,2.71179,0.0305526
11.223,2.97342,-2.91453,2.6767,2.96161,-2.90307,2.7217,0.0311406
11.243,2.97293,-2.91435,2.6789,2.96119,-2.90289,2.7233,0.0317446
11.253,2.9714,-2.9132,2.6915,2.95792,-2.90144,2.73571,0.0319366
11.304,2.96847,-2.91183,2.7104,2.95474,-2.90008,2.74775,0.0387946
11.355,2.96789,-2.91177,2.7127,2.95224,-2.89905,2.75705,0.0317936
11.385,2.96581,-2.91092,2.7228,2.95071,-2.89844,2.76268,0.0362615
11.416,2.96242,-2.90891,2.7355,2.94702,-2.89698,2.77612,0.0355226
11.457,2.95955,-2.90801,2.7427,2.9433,-2.89557,2.78939,0.0294486
11.517,2.95687,-2.90643,2.7578,2.93978,-2.89428,2.80178,0.0321636
11.568,2.95387,-2.90554,2.7656,2.93673,-2.89321,2.81232,0.0294235
11.609,2.9507,-2.9043,2.7775,2.93325,-2.89203,2.82424,0.0294026
11.659,2.94784,-2.90278,2.7903,2.92962,-2.89085,2.83656,0.0298815
11.721,2.94527,-2.90219,2.8016,2.92586,-2.88968,2.84922,0.0285225
11.748,2.94474,-2.90202,2.8043,2.92564,-2.88962,2.84993,0.0305085
11.771,2.94239,-2.90096,2.8161,2.9216,-2.88842,2.86339,0.0288536
11.83,2.93838,-2.89956,2.8322,2.92065,-2.88398,2.86074,0.0348354
11.863,2.93576,-2.89865,2.8418,2.91723,-2.883,2.87175,0.0334304
11.914,2.93253,-2.89731,2.8516,2.91416,-2.88216,2.88152,0.0334614
11.965,2.92918,-2.89676,2.86,2.91001,-2.88107,2.89459,0.0287874
12.016,2.92658,-2.89522,2.8774,2.9075,-2.88044,2.90244,0.0383324
12.059,2.92601,-2.89508,2.8797,2.90654,-2.87697,2.90063,0.0345924
12.077,2.92355,-2.89487,2.8886,2.90381,-2.8763,2.90899,0.0351324
12.127,2.92005,-2.89322,2.908,2.90006,-2.87543,2.92032,0.0432014
12.16,2.91947,-2.89298,2.9105,2.89984,-2.87538,2.92098,0.0450504
12.168,2.91694,-2.89269,2.9176,2.89606,-2.87453,2.93233,0.0407934
12.229,2.91309,-2.89197,2.9253,2.89306,-2.8739,2.94126,0.0395634
12.29,2.9095,-2.89065,2.9332,2.89092,-2.87161,2.93853,0.0329527
12.301,2.90889,-2.89059,2.9345,2.89,-2.87142,2.93853,0.0342527
12.372,2.90607,-2.89002,2.9473,2.88619,-2.87064,2.93853,0.0470527
12.373,2.90374,-2.88878,2.9586,2.88311,-2.87,2.93853,0.0583527
